TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Kategori_Transaksi,Kategori_Umur,bin_Kategori_Transaksi,bin_Kategori_Umur,Target
14.089999999999975,680,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,105,kecil,lansia,0,1,3
376.24,1178,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,192,tinggi,lansia,2,1,3
126.29000000000002,1262,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,41,sedang,muda,1,2,2
184.5,818,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,163,sedang,dewasa,1,0,3
92.15,635,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,13,kecil,muda,0,2,3
7.079999999999984,306,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,226,kecil,dewasa,0,0,1
171.42,837,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,271,sedang,lansia,1,1,3
106.23000000000002,557,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,290,kecil,lansia,0,1,1
815.96,610,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000006,9,tinggi,lansia,2,1,1
17.779999999999973,516,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,22,kecil,lansia,0,1,1
190.02,234,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,49,sedang,muda,1,2,1
494.52,1037,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,135,tinggi,muda,2,2,3
781.76,2173,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,43,tinggi,dewasa,2,0,0
166.99,283,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,226,sedang,muda,1,2,1
465.45,2354,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,355,tinggi,dewasa,2,0,0
555.8,2031,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.2600000000002,72,tinggi,muda,2,2,0
492.93,2367,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,327,tinggi,dewasa,2,0,0
18.680000000000007,353,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,337,kecil,lansia,0,1,1
71.48000000000005,1050,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,177,kecil,muda,0,2,3
59.31999999999999,413,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,181,kecil,lansia,0,1,1
85.76999999999995,1479,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,110,kecil,dewasa,0,0,2
52.19999999999999,1029,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,38,kecil,dewasa,0,0,3
345.84,802,Debit,Fort Worth,Online,22.0,Student,142.0,1.0,1402.5,41,tinggi,muda,2,2,3
145.54,436,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,46,sedang,muda,1,2,1
7.490000000000009,1979,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,201,kecil,lansia,0,1,0
246.93,707,Debit,Miami,ATM,23.0,Student,158.0,1.0,673.3500000000004,314,sedang,muda,1,2,3
40.31999999999999,601,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,335,kecil,dewasa,0,0,1
127.44999999999999,160,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,298,sedang,dewasa,1,0,1
56.170000000000016,1753,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,127,kecil,dewasa,0,0,2
28.310000000000002,1296,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,174,kecil,lansia,0,1,2
59.12000000000003,224,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,35,kecil,dewasa,0,0,1
396.45,1783,Debit,New York,ATM,49.0,Engineer,168.0,1.0,9690.15,289,tinggi,lansia,2,1,2
877.81,505,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,87,tinggi,muda,2,2,1
255.26,2019,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,267,sedang,dewasa,1,0,0
124.75999999999999,1924,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,0,sedang,lansia,1,1,0
78.13,2190,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.6099999999997,354,kecil,dewasa,0,0,0
795.31,1904,Debit,Mesa,ATM,66.0,Doctor,90.0,1.0,7914.88,293,tinggi,lansia,2,1,0
335.63,161,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.3899999999999,69,tinggi,lansia,2,1,1
328.47,1393,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,68,sedang,lansia,1,1,2
34.01999999999998,53,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,321,kecil,dewasa,0,0,1
241.42,735,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,160,sedang,lansia,1,1,3
55.31999999999999,684,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.78999999999996,100,kecil,muda,0,2,3
304.31,1358,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.6099999999997,210,sedang,dewasa,1,0,2
435.27,1854,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,288,tinggi,lansia,2,1,2
164.49,2359,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,250,sedang,dewasa,1,0,0
510.24,1869,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.6999999999998,311,tinggi,muda,2,2,2
626.9,2233,Debit,Denver,Online,26.0,Student,138.0,1.0,265.5100000000002,61,tinggi,dewasa,2,0,0
22.00999999999999,578,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.0900000000001,8,kecil,dewasa,0,0,1
425.34,284,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,44,tinggi,lansia,2,1,1
